,4-BLOCK POLYMER,Electronic Dielectric Constant,Ionic Dielectric Constant,Total Dielectric Constant,HSE Band Gap (eV)
103,NH-CO-C4H2S-CS,3.897,1.011,4.908,2.337
104,NH-CO-O-CS,3.112,2.384,5.496,2.833
105,CH2-NH-CS-CO,3.397,1.398,4.795,2.287
106,CH2-CO-C4H2S-O,3.201,0.825,4.026,3.279
107,CH2-CH2-C6H4-O,2.979,0.254,3.233,4.275
108,CH2-C6H4-CS-C6H4,3.468,0.219,3.687,2.576
109,CO-C6H4-CO-C6H4,3.551,0.581,4.132,3.308
110,CH2-C4H2S-CH2-O,3.102,0.522,3.623,2.933
111,CH2-NH-C4H2S-CO,3.692,0.983,4.674,2.721
112,CH2-NH-C6H4-NH,3.087,0.652,3.738,3.663
113,NH-CS-O-CS,3.697,1.133,4.830,2.999
114,CH2-C6H4-O-CS,3.034,0.309,3.344,3.891
115,NH-CS-C4H2S-O,4.189,0.948,5.137,2.443
116,CO-C6H4-C6H4-O,3.241,0.419,3.659,3.337
117,CH2-NH-CH2-C4H2S,2.945,0.486,3.431,4.236
118,C4H2S-CS-O-CS,4.574,0.742,5.316,1.917
119,CO-C4H2S-C6H4-C4H2S,5.667,0.746,6.414,1.732
120,CO-C4H2S-C4H2S-C4H2S,6.738,0.943,7.681,1.264
121,CH2-NH-CS-C4H2S,3.605,0.771,4.376,3.071
122,NH-O-CS-O,3.198,1.301,4.499,4.235
123,CH2-NH-CH2-NH,2.787,0.309,3.097,6.120
124,C6H4-CS-C4H2S-C4H2S,6.422,0.641,7.063,1.390
125,NH-CO-C6H4-CS,3.545,1.068,4.613,2.566
126,NH-CO-NH-CO,3.117,1.631,4.749,4.170
127,C4H2S-C4H2S-O-CS,4.472,0.845,5.317,2.100
128,NH-CS-NH-O,3.880,1.486,5.365,3.091
129,CO-O-C4H2S-O,3.098,0.702,3.800,3.921
130,CH2-O-C4H2S-O,2.893,0.590,3.483,4.494
131,NH-O-CO-O,2.682,1.163,3.846,5.548
132,CH2-CO-O-CS,2.777,0.594,3.371,3.792
133,CH2-O-C6H4-O,2.923,0.616,3.539,4.250
134,NH-C6H4-NH-O,3.302,1.019,4.321,3.651
135,CH2-CH2-C6H4-C4H2S,3.429,0.101,3.530,3.076
136,NH-C4H2S-CS-O,4.274,1.338,5.612,2.674
137,C6H4-C6H4-C4H2S-C4H2S,6.359,0.119,6.478,1.507
138,NH-C4H2S-C6H4-C4H2S,5.328,0.595,5.923,1.886
139,CO-C4H2S-C4H2S-O,3.780,0.962,4.742,2.423
140,NH-C4H2S-CO-CS,5.329,1.282,6.611,1.744
141,NH-C4H2S-C4H2S-C4H2S,5.757,0.572,6.328,1.754
142,CH2-CH2-CH2-C6H4,2.873,0.080,2.953,4.907
143,NH-C4H2S-O-CS,3.813,0.764,4.577,2.678
144,CH2-NH-CS-O,3.225,1.059,4.284,4.130
145,CH2-CO-O-C4H2S,3.072,0.536,3.608,4.409
146,CO-C6H4-CS-C6H4,3.900,0.503,4.403,1.987
147,NH-CS-C4H2S-CS,5.082,1.053,6.135,1.834
148,NH-CO-C6H4-C4H2S,3.995,0.604,4.599,2.391
149,NH-C4H2S-CS-C4H2S,4.816,1.028,5.844,1.966
150,C6H4-C4H2S-O-C4H2S,4.257,0.430,4.687,2.339
151,C6H4-C6H4-C6H4-CS,3.881,0.255,4.136,2.037
152,CH2-C4H2S-CH2-C4H2S,3.175,0.212,3.387,4.288
153,CO-CS-CO-O,3.618,0.878,4.496,1.798
